Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[/service/] GetCapabilities KVP 1.3.0,10,33,31,40,40,49,30,49,5.92,0.000%,.33613,1.62,0.06,4945.0
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,10,60,56,70,70,76,54,76,7.43,0.000%,.33669,14.45,0.11,43934.0
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,10,136,125,147,147,179,124,179,16.71,0.000%,.33613,38.45,0.11,117136.0
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,10,124,119,139,139,142,116,142,9.74,0.000%,.33626,29.74,0.11,90552.0
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format PNG,10,115,108,140,140,141,107,141,12.73,0.000%,.33644,18.91,0.11,57556.0
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format PNG,10,110,101,116,116,168,99,168,19.90,0.000%,.33660,11.34,0.11,34491.0
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format PNG,10,102,94,118,118,125,90,125,12.64,0.000%,.33673,7.25,0.11,22054.0
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format PNG,10,100,97,114,114,116,96,116,7.27,0.000%,.33707,4.00,0.11,12143.0
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format PNG,10,107,96,121,121,148,95,148,16.34,0.000%,.33692,2.70,0.11,8203.0
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format PNG,10,90,88,91,91,113,86,113,7.51,0.000%,.33701,1.18,0.11,3584.0
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format PNG,10,107,103,123,123,125,101,125,8.31,0.000%,.33688,0.43,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format PNG,10,90,87,97,97,104,87,104,5.82,0.000%,.33709,0.43,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format PNG,10,112,106,127,127,135,102,135,10.89,0.000%,.33692,0.43,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format PNG,10,88,88,89,89,94,85,94,2.32,0.000%,.33710,0.43,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format PNG,10,90,87,89,89,124,86,124,11.12,0.000%,.33715,0.43,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format PNG,10,69,70,71,71,71,68,71,0.90,0.000%,.33735,0.43,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format JPG,10,51,51,53,53,62,48,62,3.63,0.000%,.33758,24.04,0.11,72927.0
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format JPG,10,123,121,128,128,132,120,132,3.75,0.000%,.33694,69.96,0.11,212628.0
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format JPG,10,121,118,129,129,133,115,133,5.90,0.000%,.33703,66.11,0.11,200862.0
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format JPG,10,112,109,117,117,126,106,126,6.03,0.000%,.33713,51.49,0.11,156400.0
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format JPG,10,101,99,105,105,121,97,121,6.86,0.000%,.33729,33.97,0.11,103143.0
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format JPG,10,95,88,107,107,125,87,125,11.58,0.000%,.33744,22.56,0.11,68474.0
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format JPG,10,108,98,117,117,158,91,158,19.74,0.000%,.33733,12.44,0.11,37750.0
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format JPG,10,95,93,99,99,108,90,108,5.12,0.000%,.33725,8.41,0.11,25544.0
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format JPG,10,87,84,103,103,104,82,104,8.03,0.000%,.33735,3.92,0.11,11905.0
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format JPG,10,102,99,104,104,133,98,133,10.25,0.000%,.33709,1.62,0.11,4915.0
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format JPG,10,87,83,93,93,115,81,115,9.88,0.000%,.33727,1.62,0.11,4915.0
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format JPG,10,99,99,102,102,104,97,104,2.15,0.000%,.33751,1.62,0.11,4915.0
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format JPG,10,86,83,95,95,97,81,97,5.97,0.000%,.33756,1.62,0.11,4915.0
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format JPG,10,89,82,99,99,99,81,99,7.96,0.000%,.33743,1.62,0.11,4915.0
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format JPG,10,64,64,65,65,73,63,73,2.82,0.000%,.33763,1.62,0.11,4915.0
TOTAL,310,95,97,124,129,148,30,179,23.91,0.000%,9.42135,392.23,3.01,42630.7
