Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 2 Image/Format JPG,10,306,303,329,329,353,281,353,20.10,0.000%,.17474,18.24,0.07,106867.2
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 3 Image/Format JPG,10,177,172,213,213,219,134,219,24.42,0.000%,.17510,14.41,0.07,84253.1
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 4 Image/Format JPG,10,129,120,154,154,156,113,156,15.59,0.000%,.17522,10.06,0.07,58787.0
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 5 Image/Format JPG,10,108,95,135,135,138,62,138,23.06,0.000%,.17520,6.13,0.07,35798.1
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 6 Image/Format JPG,10,101,100,128,128,132,55,132,20.43,0.000%,.17517,3.47,0.07,20280.1
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 7 Image/Format JPG,10,107,99,124,124,139,90,139,15.03,0.000%,.17509,1.92,0.07,11200.0
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 8 Image/Format JPG,10,96,90,115,115,115,81,115,12.68,0.000%,.17505,1.31,0.07,7657.0
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 9 Image/Format JPG,10,102,101,119,119,122,83,122,12.35,0.000%,.17499,0.73,0.07,4261.0
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 10 Image/Format JPG,10,98,91,123,123,128,60,128,20.60,0.000%,.17493,0.35,0.07,2042.0
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 11 Image/Format JPG,10,77,81,96,96,98,48,98,18.86,0.000%,.17495,0.35,0.07,2042.3
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 12 Image/Format JPG,10,90,85,116,116,124,57,124,17.77,0.000%,.17491,0.35,0.07,2042.1
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 13 Image/Format JPG,10,85,85,92,92,115,53,115,14.16,0.000%,.17491,0.35,0.07,2042.1
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 14 Image/Format JPG,10,95,94,109,109,122,79,122,12.67,0.000%,.17486,0.35,0.07,2042.0
TOTAL,310,178,106,497,602,680,40,732,162.65,0.000%,4.90150,242.89,1.88,50742.7
