Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetCapabilities KVP 1.1.1,10,85,82,113,113,123,40,123,20.95,0.000%,.17637,1.26,0.04,7332.1
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 0 Image/Format PNG,10,488,468,521,521,543,460,543,27.18,0.000%,.17525,18.80,0.07,109856.2
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 1 Image/Format PNG,10,659,648,693,693,732,621,732,34.85,0.000%,.17460,49.36,0.07,289461.2
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 2 Image/Format PNG,10,317,315,335,335,335,295,335,15.78,0.000%,.17563,42.09,0.07,245417.4
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 3 Image/Format PNG,10,187,184,217,217,224,143,224,23.21,0.000%,.17596,29.20,0.07,169952.2
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 4 Image/Format PNG,10,130,126,149,149,153,101,153,15.29,0.000%,.17604,19.45,0.07,113135.0
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 5 Image/Format PNG,10,115,108,137,137,141,99,141,13.42,0.000%,.17594,11.63,0.07,67683.0
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 6 Image/Format PNG,10,104,98,137,137,138,61,138,22.63,0.000%,.17584,6.62,0.07,38534.1
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 7 Image/Format PNG,10,98,94,129,129,131,56,131,20.90,0.000%,.17581,3.48,0.07,20280.1
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 8 Image/Format PNG,10,103,98,122,122,123,89,123,11.18,0.000%,.17570,2.40,0.07,13981.0
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 9 Image/Format PNG,10,100,98,112,112,113,92,113,6.78,0.000%,.17569,1.42,0.07,8295.0
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 10 Image/Format PNG,10,88,82,103,103,113,79,113,11.03,0.000%,.17569,0.36,0.07,2096.0
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 11 Image/Format PNG,10,90,84,111,111,116,80,116,12.55,0.000%,.17569,0.36,0.07,2096.0
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 12 Image/Format PNG,10,90,92,121,121,129,50,129,24.45,0.000%,.17563,0.36,0.07,2096.2
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 13 Image/Format PNG,10,95,87,108,108,120,81,120,12.31,0.000%,.17556,0.36,0.07,2096.0
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 14 Image/Format PNG,10,92,84,107,107,115,83,115,11.38,0.000%,.17550,0.36,0.07,2096.0
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 0 Image/Format JPG,10,520,508,531,531,645,475,645,44.92,0.000%,.17418,5.54,0.07,32584.0
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms.map] GetMap EPSG:3857 Zoom 1 Image/Format JPG,10,602,602,632,632,654,573,654,24.00,0.000%,.17398,18.13,0.07,106719.5
