timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1540891447225,74,[/service/] GetCapabilities KVP 1.3.0,200,OK,Test 1-1,text,true,,4945,179,1,1,72,0,2
1540891447371,120,[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,200,OK,Test 1-1,bin,true,,51707,333,2,2,116,0,2
1540891447435,75,[/service/] GetCapabilities KVP 1.3.0,200,OK,Test 1-2,text,true,,4945,179,2,2,72,0,2
1540891447564,63,[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,200,OK,Test 1-2,bin,true,,51707,333,2,2,59,0,2
1540891447511,139,[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,200,OK,Test 1-1,bin,true,,139952,328,3,3,122,0,2
1540891447647,73,[/service/] GetCapabilities KVP 1.3.0,200,OK,Test 1-3,text,true,,4945,179,3,3,71,0,1
1540891447772,83,[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,200,OK,Test 1-3,bin,true,,51707,333,4,4,76,0,1
1540891447649,221,[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,200,OK,Test 1-2,bin,true,,139952,328,4,4,208,0,1
1540891447664,213,[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,200,OK,Test 1-1,bin,true,,107588,334,4,4,188,0,2
1540891447856,88,[/service/] GetCapabilities KVP 1.3.0,200,OK,Test 1-4,text,true,,4945,179,4,4,88,0,2
1540891447991,81,[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,200,OK,Test 1-4,bin,true,,51707,333,5,5,76,0,2
1540891447891,229,[/service/] GetMap EPSG:3857 Zoom 3 Image/Format PNG,200,OK,Test 1-1,bin,true,,67303,336,5,5,222,0,1
1540891447874,265,[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,200,OK,Test 1-3,bin,true,,139952,328,5,5,255,0,1
1540891447887,253,[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,200,OK,Test 1-2,bin,true,,107588,334,5,5,236,0,1
1540891448066,99,[/service/] GetCapabilities KVP 1.3.0,200,OK,Test 1-5,text,true,,4945,179,5,5,97,0,1
1540891448217,159,[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,200,OK,Test 1-5,bin,true,,51707,333,5,5,154,0,2
1540891448135,248,[/service/] GetMap EPSG:3857 Zoom 4 Image/Format PNG,200,OK,Test 1-1,bin,true,,39084,339,5,5,241,0,2
1540891448084,326,[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,200,OK,Test 1-4,bin,true,,139952,328,5,5,314,0,1
1540891448153,259,[/service/] GetMap EPSG:3857 Zoom 3 Image/Format PNG,200,OK,Test 1-2,bin,true,,67303,336,5,5,252,0,1
1540891448152,281,[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,200,OK,Test 1-3,bin,true,,107588,334,5,5,271,0,2
1540891448395,304,[/service/] GetMap EPSG:3857 Zoom 5 Image/Format PNG,200,OK,Test 1-1,bin,true,,24343,340,5,5,301,0,1
1540891448426,291,[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,200,OK,Test 1-4,bin,true,,107588,334,5,5,281,0,2
1540891448444,291,[/service/] GetMap EPSG:3857 Zoom 3 Image/Format PNG,200,OK,Test 1-3,bin,true,,67303,336,5,5,283,0,2
1540891448389,352,[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,200,OK,Test 1-5,bin,true,,139952,328,5,5,339,0,2
1540891448427,317,[/service/] GetMap EPSG:3857 Zoom 4 Image/Format PNG,200,OK,Test 1-2,bin,true,,39084,339,5,5,311,0,1
1540891448710,260,[/service/] GetMap EPSG:3857 Zoom 6 Image/Format PNG,200,OK,Test 1-1,bin,true,,13210,340,5,5,257,0,2
1540891448727,256,[/service/] GetMap EPSG:3857 Zoom 3 Image/Format PNG,200,OK,Test 1-4,bin,true,,67303,336,5,5,250,0,1
1540891448759,233,[/service/] GetMap EPSG:3857 Zoom 5 Image/Format PNG,200,OK,Test 1-2,bin,true,,24343,340,5,5,229,0,1
1540891448749,245,[/service/] GetMap EPSG:3857 Zoom 4 Image/Format PNG,200,OK,Test 1-3,bin,true,,39084,339,5,5,244,0,2
1540891448754,257,[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,200,OK,Test 1-5,bin,true,,107588,334,5,5,244,0,1
1540891448983,236,[/service/] GetMap EPSG:3857 Zoom 7 Image/Format PNG,200,OK,Test 1-1,bin,true,,8901,340,5,5,234,0,1
1540891449006,214,[/service/] GetMap EPSG:3857 Zoom 5 Image/Format PNG,200,OK,Test 1-3,bin,true,,24343,340,5,5,211,0,1
1540891449006,250,[/service/] GetMap EPSG:3857 Zoom 6 Image/Format PNG,200,OK,Test 1-2,bin,true,,13210,340,5,5,246,0,1
1540891449001,256,[/service/] GetMap EPSG:3857 Zoom 4 Image/Format PNG,200,OK,Test 1-4,bin,true,,39084,339,5,5,250,0,2
1540891449020,252,[/service/] GetMap EPSG:3857 Zoom 3 Image/Format PNG,200,OK,Test 1-5,bin,true,,67303,336,5,5,241,0,2
1540891449230,226,[/service/] GetMap EPSG:3857 Zoom 8 Image/Format PNG,200,OK,Test 1-1,bin,true,,3837,339,5,5,224,0,1
1540891449270,198,[/service/] GetMap EPSG:3857 Zoom 7 Image/Format PNG,200,OK,Test 1-2,bin,true,,8901,340,5,5,195,0,2
1540891449270,202,[/service/] GetMap EPSG:3857 Zoom 5 Image/Format PNG,200,OK,Test 1-4,bin,true,,24343,340,5,5,199,0,2
1540891449230,249,[/service/] GetMap EPSG:3857 Zoom 6 Image/Format PNG,200,OK,Test 1-3,bin,true,,13210,340,5,5,245,0,1
1540891449283,231,[/service/] GetMap EPSG:3857 Zoom 4 Image/Format PNG,200,OK,Test 1-5,bin,true,,39084,339,5,5,226,0,1
1540891449480,253,[/service/] GetMap EPSG:3857 Zoom 8 Image/Format PNG,200,OK,Test 1-2,bin,true,,3837,339,5,5,251,0,1
1540891449524,240,[/service/] GetMap EPSG:3857 Zoom 5 Image/Format PNG,200,OK,Test 1-5,bin,true,,24343,340,5,5,235,0,1
1540891449491,276,[/service/] GetMap EPSG:3857 Zoom 7 Image/Format PNG,200,OK,Test 1-3,bin,true,,8901,340,5,5,273,0,1
1540891449465,303,[/service/] GetMap EPSG:3857 Zoom 9 Image/Format PNG,200,OK,Test 1-1,bin,true,,1305,338,5,5,303,0,1
1540891449485,284,[/service/] GetMap EPSG:3857 Zoom 6 Image/Format PNG,200,OK,Test 1-4,bin,true,,13210,340,5,5,279,0,1
1540891449779,255,[/service/] GetMap EPSG:3857 Zoom 10 Image/Format PNG,200,OK,Test 1-1,bin,true,,1305,340,5,5,255,0,2
1540891449781,264,[/service/] GetMap EPSG:3857 Zoom 8 Image/Format PNG,200,OK,Test 1-3,bin,true,,3837,339,5,5,262,0,2
1540891449777,274,[/service/] GetMap EPSG:3857 Zoom 6 Image/Format PNG,200,OK,Test 1-5,bin,true,,13210,340,5,5,270,0,2
1540891449743,313,[/service/] GetMap EPSG:3857 Zoom 9 Image/Format PNG,200,OK,Test 1-2,bin,true,,1305,338,5,5,313,0,1
1540891449781,300,[/service/] GetMap EPSG:3857 Zoom 7 Image/Format PNG,200,OK,Test 1-4,bin,true,,8901,340,5,5,300,0,1
1540891450094,235,[/service/] GetMap EPSG:3857 Zoom 8 Image/Format PNG,200,OK,Test 1-4,bin,true,,3837,339,5,5,233,0,2
1540891450070,260,[/service/] GetMap EPSG:3857 Zoom 10 Image/Format PNG,200,OK,Test 1-2,bin,true,,1305,340,5,5,260,0,1
1540891450065,275,[/service/] GetMap EPSG:3857 Zoom 7 Image/Format PNG,200,OK,Test 1-5,bin,true,,8901,340,5,5,272,0,2
1540891450046,308,[/service/] GetMap EPSG:3857 Zoom 11 Image/Format PNG,200,OK,Test 1-1,bin,true,,1305,340,5,5,308,0,1
1540891450060,300,[/service/] GetMap EPSG:3857 Zoom 9 Image/Format PNG,200,OK,Test 1-3,bin,true,,1305,338,5,5,300,0,1
1540891450366,272,[/service/] GetMap EPSG:3857 Zoom 12 Image/Format PNG,200,OK,Test 1-1,bin,true,,1305,340,5,5,272,0,2
1540891450351,288,[/service/] GetMap EPSG:3857 Zoom 8 Image/Format PNG,200,OK,Test 1-5,bin,true,,3837,339,5,5,285,0,1
1540891450371,270,[/service/] GetMap EPSG:3857 Zoom 10 Image/Format PNG,200,OK,Test 1-3,bin,true,,1305,340,5,5,270,0,2
1540891450343,321,[/service/] GetMap EPSG:3857 Zoom 9 Image/Format PNG,200,OK,Test 1-4,bin,true,,1305,338,5,5,321,0,2
1540891450343,342,[/service/] GetMap EPSG:3857 Zoom 11 Image/Format PNG,200,OK,Test 1-2,bin,true,,1305,340,5,5,342,0,2
