Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[/service/] GetCapabilities KVP 1.3.0,10,53,41,82,82,83,31,83,20.68,0.000%,.34466,1.66,0.06,4945.0
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,10,56,52,62,62,73,50,73,7.15,0.000%,.34483,10.93,0.11,32468.0
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,10,120,114,132,132,139,112,139,9.68,0.000%,.34407,31.50,0.11,93743.0
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,10,114,110,128,128,136,106,136,9.22,0.000%,.34415,25.93,0.11,77140.0
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format PNG,10,108,103,127,127,132,101,132,10.73,0.000%,.34428,17.01,0.11,50604.0
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format PNG,10,101,99,112,112,116,97,116,6.42,0.000%,.34434,10.21,0.11,30363.0
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format PNG,10,90,89,91,91,102,89,102,3.82,0.000%,.34448,6.46,0.11,19202.0
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format PNG,10,95,95,97,97,98,94,98,1.11,0.000%,.34441,3.56,0.11,10580.0
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format PNG,10,98,95,103,103,119,93,119,7.51,0.000%,.34444,2.41,0.11,7156.0
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format PNG,10,98,91,117,117,118,87,118,11.22,0.000%,.34480,1.06,0.11,3137.0
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format PNG,10,120,122,136,136,140,101,140,13.36,0.000%,.34461,0.44,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format PNG,10,92,87,101,101,116,86,116,9.10,0.000%,.34489,0.44,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format PNG,10,103,103,105,105,106,101,106,1.36,0.000%,.34471,0.44,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format PNG,10,87,87,89,89,92,86,92,1.80,0.000%,.34490,0.44,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format PNG,10,87,87,89,89,90,86,90,1.25,0.000%,.34490,0.44,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format PNG,10,69,69,72,72,72,68,72,1.42,0.000%,.34514,0.44,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format JPG,10,47,47,48,48,48,46,48,0.70,0.000%,.34541,19.23,0.11,57015.0
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format JPG,10,110,110,112,112,119,109,119,2.89,0.000%,.34472,58.89,0.11,174926.0
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format JPG,10,111,107,116,116,145,105,145,11.54,0.000%,.34429,58.03,0.11,172596.0
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format JPG,10,108,103,124,124,131,100,131,10.41,0.000%,.34433,46.56,0.11,138457.0
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format JPG,10,117,113,133,133,163,96,163,19.35,0.000%,.34410,31.17,0.11,92750.0
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format JPG,10,93,86,111,111,131,84,131,14.45,0.000%,.34463,20.71,0.11,61544.0
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format JPG,10,95,91,110,110,110,90,110,7.42,0.000%,.34460,11.39,0.11,33838.0
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format JPG,10,95,91,106,106,106,88,106,6.93,0.000%,.34468,7.67,0.11,22798.0
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format JPG,10,87,83,105,105,105,80,105,8.95,0.000%,.34485,3.70,0.11,10995.0
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format JPG,10,102,99,106,106,136,96,136,11.38,0.000%,.34472,1.65,0.11,4915.0
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format JPG,10,82,81,84,84,86,81,86,1.62,0.000%,.34496,1.66,0.11,4915.0
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format JPG,10,98,98,100,100,101,97,101,1.35,0.000%,.34476,1.65,0.11,4915.0
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format JPG,10,81,81,84,84,85,80,85,1.51,0.000%,.34499,1.66,0.11,4915.0
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format JPG,10,84,82,87,87,105,80,105,7.01,0.000%,.34501,1.66,0.11,4915.0
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format JPG,10,76,70,88,88,104,63,104,12.79,0.000%,.34520,1.66,0.11,4915.0
TOTAL,310,93,95,114,128,139,31,163,20.48,0.000%,9.65491,344.17,3.14,36502.5
