Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[/service/] GetCapabilities KVP 1.3.0,10,45,34,62,62,120,30,120,26.53,0.000%,.07827,0.38,0.01,4945.0
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,10,1058,786,907,907,3357,732,3357,768.53,0.000%,.07810,3.05,0.03,39956.2
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,10,969,787,952,952,2332,745,2332,458.47,0.000%,.07961,10.72,0.03,137935.5
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,10,1266,1272,1520,1520,1534,884,1534,198.67,0.000%,.08027,12.28,0.03,156637.6
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format PNG,10,808,789,1002,1002,1122,578,1122,172.22,0.000%,.08034,8.86,0.03,112905.3
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format PNG,10,439,424,509,509,567,363,567,64.22,0.000%,.08066,5.33,0.03,67654.8
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format PNG,10,332,356,402,402,427,209,427,69.26,0.000%,.08067,2.60,0.03,32977.4
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format PNG,10,318,322,366,366,384,233,384,41.98,0.000%,.08071,1.41,0.03,17866.2
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format PNG,10,328,300,342,342,642,216,642,114.16,0.000%,.08077,0.83,0.03,10471.9
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format PNG,10,247,221,301,301,336,193,336,45.56,0.000%,.08077,0.46,0.03,5867.4
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format PNG,10,245,228,272,272,358,202,358,43.45,0.000%,.08076,0.28,0.03,3588.9
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format PNG,10,249,225,313,313,328,181,328,54.20,0.000%,.08087,0.32,0.03,4006.0
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format PNG,10,217,216,255,255,315,142,315,48.42,0.000%,.08098,0.17,0.03,2091.2
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format PNG,10,224,225,262,262,280,157,280,33.23,0.000%,.08098,0.14,0.03,1791.4
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format PNG,10,220,214,257,257,305,151,305,42.88,0.000%,.08096,0.11,0.03,1406.6
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format PNG,10,276,226,304,304,752,131,752,164.97,0.000%,.08096,0.11,0.03,1442.6
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format JPG,10,754,750,775,775,904,687,904,58.46,0.000%,.08060,3.38,0.03,42883.1
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format JPG,10,757,770,799,799,843,568,843,70.21,0.000%,.08058,11.67,0.03,148348.3
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format JPG,10,1167,1162,1316,1316,1357,957,1357,143.86,0.000%,.08037,14.23,0.03,181340.5
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format JPG,10,732,703,849,849,991,547,991,140.24,0.000%,.08071,12.60,0.03,159913.2
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format JPG,10,465,447,553,553,565,376,565,61.57,0.000%,.08112,8.76,0.03,110594.8
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format JPG,10,338,332,402,402,428,247,428,48.94,0.000%,.08120,5.03,0.03,63476.1
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format JPG,10,317,309,377,377,378,248,378,36.18,0.000%,.08122,2.75,0.03,34657.5
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format JPG,10,295,305,352,352,357,203,357,52.76,0.000%,.08122,1.58,0.03,19887.6
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format JPG,10,256,253,310,310,327,196,327,44.12,0.000%,.08130,1.07,0.03,13471.1
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format JPG,10,264,247,335,335,338,177,338,50.71,0.000%,.08122,0.76,0.03,9577.8
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format JPG,10,216,210,260,260,263,173,263,29.63,0.000%,.08122,0.57,0.03,7223.5
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format JPG,10,226,219,256,256,301,170,301,37.74,0.000%,.08128,0.44,0.03,5537.8
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format JPG,10,227,207,284,284,293,179,293,42.17,0.000%,.08136,0.43,0.03,5424.9
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format JPG,10,239,238,309,309,328,151,328,58.20,0.000%,.08143,0.39,0.03,4915.0
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format JPG,10,228,240,282,282,291,156,291,45.54,0.000%,.08150,0.39,0.03,4915.0
TOTAL,310,443,301,884,1137,1520,30,3357,364.46,0.000%,2.19523,97.76,0.72,45603.6
