Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[/service/] GetCapabilities KVP 1.3.0,10,39,30,71,71,77,30,77,17.43,0.000%,.06588,0.32,0.01,4945.0
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,10,1525,1351,1395,1395,3160,1282,3160,545.77,0.000%,.06538,1.89,0.02,29627.5
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,10,1324,1168,1267,1267,2650,1093,2650,445.06,0.000%,.06623,7.40,0.02,114385.3
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,10,1519,1555,1720,1720,1742,1268,1742,165.28,0.000%,.06671,8.54,0.02,131069.0
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format PNG,10,767,709,933,933,995,488,995,154.28,0.000%,.06716,5.94,0.02,90598.7
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format PNG,10,466,468,548,548,638,295,638,99.78,0.000%,.06733,3.44,0.02,52354.4
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format PNG,10,397,392,449,449,530,300,530,59.97,0.000%,.06743,2.09,0.02,31698.7
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format PNG,10,308,290,382,382,392,165,392,68.08,0.000%,.06749,1.19,0.02,18016.0
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format PNG,10,279,275,317,317,370,184,370,48.58,0.000%,.06752,0.59,0.02,8890.6
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format PNG,10,269,265,295,295,328,215,328,28.80,0.000%,.06752,0.40,0.02,6103.3
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format PNG,10,249,234,279,279,321,185,321,35.80,0.000%,.06754,0.22,0.02,3377.8
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format PNG,10,235,243,264,264,268,167,268,27.79,0.000%,.06755,0.19,0.02,2877.1
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format PNG,10,198,181,266,266,291,117,291,53.54,0.000%,.06754,0.12,0.02,1830.9
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format PNG,10,243,243,273,273,314,183,314,35.99,0.000%,.06753,0.12,0.02,1801.3
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format PNG,10,242,244,283,283,325,142,325,48.51,0.000%,.06753,0.09,0.02,1305.0
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format PNG,10,230,240,266,266,270,149,270,37.67,0.000%,.06753,0.09,0.02,1421.7
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format JPG,10,1426,1364,1660,1660,1701,1265,1701,145.45,0.000%,.06703,3.49,0.02,53353.3
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format JPG,10,1210,1210,1320,1320,1346,1087,1346,81.45,0.000%,.06708,11.31,0.02,172596.1
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format JPG,10,1541,1515,1748,1748,1766,1173,1766,179.38,0.000%,.06696,13.91,0.02,212711.2
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format JPG,10,843,810,1041,1041,1058,601,1058,142.49,0.000%,.06733,11.64,0.02,177105.2
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format JPG,10,512,503,647,647,648,350,648,108.71,0.000%,.06751,7.61,0.02,115493.6
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format JPG,10,317,310,382,382,430,200,430,72.02,0.000%,.06761,4.31,0.02,65340.2
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format JPG,10,317,249,381,381,652,209,652,125.40,0.000%,.06749,2.51,0.02,38138.0
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format JPG,10,279,289,340,340,348,163,348,59.31,0.000%,.06750,1.43,0.02,21656.0
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format JPG,10,248,262,287,287,310,177,310,41.74,0.000%,.06752,0.93,0.02,14087.4
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format JPG,10,232,229,262,262,307,178,307,36.20,0.000%,.06754,0.62,0.02,9375.5
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format JPG,10,264,253,348,348,383,177,383,61.18,0.000%,.06754,0.50,0.02,7530.8
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format JPG,10,242,230,291,291,315,171,315,48.42,0.000%,.06757,0.38,0.02,5705.0
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format JPG,10,266,247,316,316,355,193,355,44.68,0.000%,.06756,0.39,0.02,5845.3
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format JPG,10,240,226,270,270,482,135,482,87.64,0.000%,.06757,0.34,0.02,5103.9
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format JPG,10,205,211,239,239,248,164,248,27.97,0.000%,.06761,0.32,0.02,4915.0
TOTAL,310,530,289,1338,1511,1748,30,3160,490.74,0.000%,1.84448,81.88,0.59,45460.0
