Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[/service/] GetCapabilities KVP 1.3.0,10,36,32,34,34,79,31,79,14.16,0.000%,.33922,1.64,0.06,4945.0
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,10,57,54,69,69,75,51,75,7.44,0.000%,.33952,17.14,0.11,51707.0
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,10,124,124,129,129,133,118,133,4.45,0.000%,.33879,46.30,0.11,139952.0
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,10,121,118,129,129,131,114,131,6.13,0.000%,.33887,35.60,0.11,107588.0
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format PNG,10,115,115,127,127,129,105,129,8.14,0.000%,.33880,22.27,0.11,67303.0
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format PNG,10,103,101,108,108,117,99,117,5.28,0.000%,.33885,12.93,0.11,39084.0
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format PNG,10,95,91,100,100,108,90,108,5.67,0.000%,.33898,8.06,0.11,24343.0
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format PNG,10,105,100,119,119,137,96,137,12.52,0.000%,.33913,4.37,0.11,13210.0
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format PNG,10,99,97,104,104,107,94,107,4.12,0.000%,.33914,2.95,0.11,8901.0
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format PNG,10,88,88,90,90,95,87,95,2.33,0.000%,.33928,1.27,0.11,3837.0
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format PNG,10,105,103,109,109,114,102,114,3.77,0.000%,.33906,0.43,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format PNG,10,93,87,98,98,137,85,137,15.03,0.000%,.33918,0.43,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format PNG,10,108,104,113,113,139,102,139,10.68,0.000%,.33894,0.43,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format PNG,10,90,88,94,94,105,86,105,5.54,0.000%,.33909,0.43,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format PNG,10,98,97,103,103,104,89,104,4.23,0.000%,.33896,0.43,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format PNG,10,76,70,92,92,96,67,96,10.03,0.000%,.33920,0.43,0.11,1305.0
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format JPG,10,52,50,58,58,59,48,59,4.05,0.000%,.33957,20.70,0.11,62425.0
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format JPG,10,129,119,148,148,166,114,166,15.93,0.000%,.33886,63.06,0.11,190572.0
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format JPG,10,126,123,139,139,156,111,156,13.14,0.000%,.33929,61.63,0.11,185990.0
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format JPG,10,117,107,133,133,152,102,152,15.71,0.000%,.33955,48.90,0.11,147473.0
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format JPG,10,103,99,115,115,115,97,115,6.95,0.000%,.34016,32.58,0.11,98083.0
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format JPG,10,96,94,104,104,105,88,105,5.72,0.000%,.34036,21.78,0.11,65516.0
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format JPG,10,94,93,100,100,102,91,102,3.50,0.000%,.34051,12.03,0.11,36191.0
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format JPG,10,92,91,99,99,100,89,100,3.61,0.000%,.34062,8.12,0.11,24410.0
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format JPG,10,96,95,100,100,126,82,126,11.56,0.000%,.34062,3.87,0.11,11631.0
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format JPG,10,101,99,111,111,112,96,112,5.53,0.000%,.34037,1.63,0.11,4915.0
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format JPG,10,86,83,88,88,113,80,113,9.19,0.000%,.34066,1.64,0.11,4915.0
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format JPG,10,101,98,109,109,121,97,121,7.22,0.000%,.34045,1.63,0.11,4915.0
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format JPG,10,85,84,94,94,99,81,99,5.70,0.000%,.34058,1.63,0.11,4915.0
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format JPG,10,84,82,91,91,98,81,98,5.31,0.000%,.34053,1.63,0.11,4915.0
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format JPG,10,64,64,65,65,67,63,67,1.10,0.000%,.34092,1.64,0.11,4915.0
TOTAL,310,95,97,123,129,148,31,166,22.64,0.000%,9.48738,394.65,3.09,42596.2
