Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[/service/] GetCapabilities KVP 1.3.0,50,189,202,230,235,238,73,238,47.79,0.000%,.69028,3.33,0.12,4945.0
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,50,137,135,176,184,197,63,197,30.64,0.000%,.68969,34.83,0.22,51707.0
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,50,308,300,379,389,394,139,394,50.46,0.000%,.68774,93.99,0.22,139952.0
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,50,309,309,345,386,409,213,409,40.33,0.000%,.68606,72.08,0.22,107588.0
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format PNG,50,276,266,310,370,387,206,387,37.35,0.000%,.68554,45.06,0.22,67303.0
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format PNG,50,262,257,311,317,336,199,336,28.32,0.000%,.68521,26.15,0.23,39084.0
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format PNG,50,241,230,280,304,312,197,312,28.41,0.000%,.68549,16.30,0.23,24343.0
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format PNG,50,269,260,318,341,360,221,360,34.45,0.000%,.68610,8.85,0.23,13210.0
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format PNG,50,258,254,289,293,316,198,316,23.39,0.000%,.68601,5.96,0.23,8901.0
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format PNG,50,225,222,260,264,288,191,288,23.68,0.000%,.68608,2.57,0.23,3837.0
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format PNG,50,281,271,321,331,357,242,357,28.32,0.000%,.68578,0.87,0.23,1305.0
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format PNG,50,240,242,263,270,317,195,317,23.18,0.000%,.68635,0.87,0.23,1305.0
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format PNG,50,289,286,347,351,377,228,377,34.60,0.000%,.68611,0.87,0.23,1305.0
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format PNG,50,234,221,292,296,309,186,309,33.98,0.000%,.68705,0.88,0.23,1305.0
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format PNG,50,233,225,274,276,368,194,368,34.56,0.000%,.68728,0.88,0.23,1305.0
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format PNG,50,177,166,221,227,284,130,284,32.71,0.000%,.68910,0.88,0.23,1305.0
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format JPG,50,134,131,162,167,282,86,282,31.36,0.000%,.69010,42.07,0.23,62425.0
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format JPG,50,301,303,358,359,391,216,391,41.00,0.000%,.68843,128.12,0.22,190572.0
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format JPG,50,296,297,335,349,390,223,390,33.40,0.000%,.68849,125.05,0.23,185990.0
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format JPG,50,282,270,334,351,370,203,370,37.44,0.000%,.68876,99.19,0.23,147473.0
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format JPG,50,267,266,298,309,323,210,323,26.68,0.000%,.69004,66.09,0.23,98083.0
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format JPG,50,228,222,262,264,274,173,274,23.81,0.000%,.68983,44.14,0.23,65516.0
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format JPG,50,250,239,296,299,303,208,303,27.84,0.000%,.69006,24.39,0.23,36191.0
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format JPG,50,240,234,271,282,324,211,324,23.08,0.000%,.69025,16.45,0.23,24410.0
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format JPG,50,227,226,256,280,322,177,322,30.24,0.000%,.69084,7.85,0.23,11631.0
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format JPG,50,287,286,332,338,363,218,363,32.73,0.000%,.69050,3.31,0.23,4915.0
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format JPG,50,224,225,264,271,287,179,287,25.81,0.000%,.69069,3.32,0.23,4915.0
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format JPG,50,276,270,322,332,344,216,344,30.00,0.000%,.69028,3.31,0.23,4915.0
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format JPG,50,215,211,255,259,270,165,270,26.53,0.000%,.69066,3.32,0.23,4915.0
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format JPG,50,226,229,260,268,309,172,309,29.25,0.000%,.69089,3.32,0.23,4915.0
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format JPG,50,166,164,203,216,234,121,234,26.76,0.000%,.69158,3.32,0.23,4915.0
TOTAL,1550,243,246,311,336,377,63,409,55.88,0.000%,19.38009,806.17,6.30,42596.2
