Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[/service/] GetCapabilities KVP 1.3.0,50,176,160,305,318,442,38,442,79.29,0.000%,.22492,1.09,0.04,4945.0
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,50,453,149,257,3035,3548,85,3548,927.21,0.000%,.22496,8.78,0.07,39949.9
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,50,523,269,488,2751,2797,147,2797,752.52,0.000%,.22847,29.65,0.08,132905.6
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,50,455,291,516,1808,1998,202,1998,476.84,0.000%,.23111,35.23,0.08,156091.9
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format PNG,50,413,276,1129,1264,1897,172,1897,399.94,0.000%,.23275,24.64,0.08,108407.6
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format PNG,50,489,270,1021,1879,2809,146,2809,594.59,0.000%,.23407,15.10,0.08,66041.7
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format PNG,50,552,287,1115,1486,2726,170,2726,572.77,0.000%,.23617,8.38,0.08,36344.6
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format PNG,50,802,526,1675,1786,2059,191,2059,577.73,0.000%,.23753,4.43,0.08,19103.4
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format PNG,50,1031,975,1512,1639,2086,166,2086,434.64,0.000%,.23942,2.36,0.08,10101.1
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format PNG,50,1072,1057,1577,1608,2420,180,2420,433.12,0.000%,.23984,1.38,0.08,5901.9
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format PNG,50,1109,1056,1553,1596,1961,528,1961,322.78,0.000%,.23995,0.87,0.08,3712.3
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format PNG,50,1105,1078,1498,1541,1879,558,1879,294.63,0.000%,.23995,0.67,0.08,2838.9
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format PNG,50,1095,1101,1459,1611,2186,468,2186,347.12,0.000%,.24003,0.47,0.08,1998.6
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format PNG,50,1035,1064,1516,1612,1667,536,1667,309.01,0.000%,.24030,0.42,0.08,1795.4
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format PNG,50,1026,978,1352,1425,1682,355,1682,293.25,0.000%,.23986,0.35,0.08,1497.9
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format PNG,50,991,947,1378,1454,1625,277,1625,291.77,0.000%,.24052,0.34,0.08,1460.7
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format JPG,50,140,109,229,276,399,49,399,72.19,0.000%,.24157,10.09,0.08,42760.3
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format JPG,50,246,231,336,343,644,133,644,88.11,0.000%,.24152,32.40,0.08,137370.3
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format JPG,50,317,273,410,562,1112,161,1112,161.63,0.000%,.24162,43.09,0.08,182638.7
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format JPG,50,354,264,473,1086,1336,130,1336,263.57,0.000%,.24170,37.49,0.08,158849.6
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format JPG,50,289,234,383,547,1434,85,1434,210.05,0.000%,.24179,26.61,0.08,112703.7
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format JPG,50,362,241,697,838,1423,108,1423,265.53,0.000%,.24231,15.42,0.08,65153.0
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format JPG,50,572,421,1181,1241,1326,78,1326,374.41,0.000%,.24320,8.60,0.08,36225.0
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format JPG,50,994,1031,1501,1733,2270,147,2270,487.97,0.000%,.24371,5.32,0.08,22354.0
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format JPG,50,943,939,1356,1391,1816,255,1816,315.63,0.000%,.24389,3.14,0.08,13185.1
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format JPG,50,1110,1049,1598,1700,1893,297,1893,371.88,0.000%,.24516,2.31,0.08,9635.8
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format JPG,50,1031,1028,1409,1421,1719,247,1719,305.30,0.000%,.24703,1.82,0.08,7529.5
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format JPG,50,1002,945,1604,1711,1895,263,1895,369.77,0.000%,.24841,1.44,0.08,5949.3
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format JPG,50,1052,974,1477,1580,1963,203,1963,358.04,0.000%,.24950,1.46,0.08,6006.3
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format JPG,50,991,1014,1424,1472,2165,401,2165,327.44,0.000%,.24971,1.26,0.08,5167.7
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format JPG,50,943,910,1351,1380,1708,154,1708,327.40,0.000%,.25064,1.26,0.08,5135.8
TOTAL,1550,731,678,1398,1611,2261,38,3548,528.66,0.000%,6.61692,292.61,2.16,45282.6
