Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[/service/] GetCapabilities KVP 1.3.0,10,39,36,43,43,72,30,72,11.67,0.000%,.07828,0.38,0.01,4945.0
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,10,969,698,1115,1115,3040,633,3040,702.74,0.000%,.07794,1.80,0.03,23673.3
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,10,947,778,1011,1011,2417,525,2417,503.29,0.000%,.07936,6.07,0.03,78313.9
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,10,1357,1329,1513,1513,1588,1227,1588,108.74,0.000%,.08007,7.71,0.03,98556.0
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format PNG,10,753,819,924,924,1004,475,1004,174.14,0.000%,.08057,5.74,0.03,73003.9
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format PNG,10,507,483,584,584,681,357,681,84.80,0.000%,.08082,3.54,0.03,44805.0
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format PNG,10,350,359,415,415,530,224,530,87.51,0.000%,.08093,2.06,0.03,26029.4
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format PNG,10,285,294,327,327,334,166,334,49.36,0.000%,.08100,1.03,0.03,13011.1
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format PNG,10,251,227,336,336,380,168,380,64.72,0.000%,.08105,0.60,0.03,7635.9
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format PNG,10,272,259,284,284,384,236,384,39.41,0.000%,.08107,0.32,0.03,4043.6
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format PNG,10,259,255,315,315,318,196,318,41.48,0.000%,.08105,0.33,0.03,4120.4
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format PNG,10,221,229,257,257,275,164,275,33.94,0.000%,.08111,0.23,0.03,2957.0
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format PNG,10,221,211,249,249,266,195,266,21.03,0.000%,.08110,0.14,0.03,1705.1
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format PNG,10,249,238,291,291,362,183,362,55.04,0.000%,.08106,0.11,0.03,1409.3
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format PNG,10,218,201,249,249,408,154,408,69.31,0.000%,.08105,0.11,0.03,1391.1
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format PNG,10,221,212,282,282,299,127,299,49.37,0.000%,.08120,0.13,0.03,1597.0
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format JPG,10,687,660,738,738,850,612,850,65.83,0.000%,.08091,3.00,0.03,38024.3
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format JPG,10,751,747,777,777,779,722,779,17.73,0.000%,.08092,9.40,0.03,118921.3
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format JPG,10,1211,1253,1422,1422,1478,918,1478,189.52,0.000%,.08083,12.51,0.03,158512.8
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format JPG,10,783,696,969,969,972,590,972,146.39,0.000%,.08103,11.32,0.03,143002.8
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format JPG,10,559,518,666,666,783,407,783,105.87,0.000%,.08099,7.94,0.03,100413.2
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format JPG,10,373,386,429,429,504,249,504,71.04,0.000%,.08109,4.70,0.03,59352.7
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format JPG,10,311,284,388,388,527,218,527,90.02,0.000%,.08113,2.74,0.03,34631.0
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format JPG,10,289,282,305,305,340,268,340,20.37,0.000%,.08130,1.52,0.03,19104.4
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format JPG,10,242,240,280,280,281,199,281,25.13,0.000%,.08132,0.93,0.03,11700.2
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format JPG,10,230,223,300,300,306,164,306,46.41,0.000%,.08134,0.70,0.03,8810.7
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format JPG,10,215,220,249,249,279,141,279,41.39,0.000%,.08140,0.55,0.03,6978.1
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format JPG,10,211,183,276,276,280,144,280,46.01,0.000%,.08142,0.44,0.03,5515.1
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format JPG,10,259,230,359,359,429,167,429,78.60,0.000%,.08139,0.48,0.03,6090.8
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format JPG,10,230,206,296,296,301,177,301,43.42,0.000%,.08146,0.39,0.03,4915.0
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format JPG,10,214,187,283,283,316,137,316,56.02,0.000%,.08148,0.40,0.03,5085.6
TOTAL,310,441,283,876,1230,1513,30,3040,366.89,0.000%,2.20609,77.02,0.72,35750.2
