Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[/service/] GetCapabilities KVP 1.3.0,50,115,115,149,153,156,32,156,27.70,0.000%,.79068,1.98,0.14,2568.0
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format PNG,50,106,101,133,146,160,73,160,20.05,0.000%,.79129,26.99,0.25,34932.0
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format PNG,50,252,260,284,292,315,142,315,32.84,0.000%,.78925,76.95,0.24,99831.0
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format PNG,50,240,240,274,285,291,155,291,27.53,0.000%,.78812,63.39,0.25,82364.0
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format PNG,50,241,245,277,284,328,153,328,31.98,0.000%,.78770,42.10,0.25,54734.0
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format PNG,50,223,224,257,260,272,170,272,24.73,0.000%,.78708,25.74,0.25,33482.0
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format PNG,50,213,213,243,245,262,159,262,23.38,0.000%,.78753,16.68,0.25,21683.0
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format PNG,50,232,235,257,259,287,161,287,24.25,0.000%,.78691,9.22,0.25,11996.0
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format PNG,50,239,239,264,271,276,173,276,22.31,0.000%,.78744,6.20,0.25,8068.0
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format PNG,50,210,208,241,250,263,137,263,24.78,0.000%,.78775,2.59,0.25,3372.0
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format PNG,50,253,252,277,280,287,196,287,18.04,0.000%,.78682,1.00,0.25,1305.0
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format PNG,50,209,209,231,233,248,167,248,17.48,0.000%,.78723,1.00,0.25,1305.0
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format PNG,50,254,255,279,284,318,216,318,22.93,0.000%,.78640,1.00,0.25,1305.0
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format PNG,50,219,218,239,241,258,182,258,17.74,0.000%,.78735,1.00,0.25,1305.0
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format PNG,50,207,207,234,239,241,173,241,18.79,0.000%,.78722,1.00,0.25,1305.0
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format PNG,50,152,144,190,196,217,113,217,26.40,0.000%,.78800,1.00,0.25,1305.0
[/service/] GetMap EPSG:3857 Zoom 0 Image/Format JPG,50,100,96,132,133,141,73,141,15.67,0.000%,.78846,57.73,0.25,74979.0
[/service/] GetMap EPSG:3857 Zoom 1 Image/Format JPG,50,245,250,287,300,306,182,306,31.83,0.000%,.78630,177.19,0.24,230759.0
[/service/] GetMap EPSG:3857 Zoom 2 Image/Format JPG,50,244,242,276,278,303,189,303,23.81,0.000%,.78657,174.21,0.25,226801.0
[/service/] GetMap EPSG:3857 Zoom 3 Image/Format JPG,50,247,246,282,297,320,187,320,28.18,0.000%,.78636,140.53,0.25,182999.0
[/service/] GetMap EPSG:3857 Zoom 4 Image/Format JPG,50,229,230,252,253,275,172,275,19.74,0.000%,.78640,95.71,0.25,124622.0
[/service/] GetMap EPSG:3857 Zoom 5 Image/Format JPG,50,200,201,224,228,264,145,264,23.74,0.000%,.78697,64.54,0.25,83985.0
[/service/] GetMap EPSG:3857 Zoom 6 Image/Format JPG,50,222,222,249,264,276,165,276,24.19,0.000%,.78647,35.49,0.25,46209.0
[/service/] GetMap EPSG:3857 Zoom 7 Image/Format JPG,50,219,219,241,259,278,147,278,23.82,0.000%,.78641,23.25,0.25,30274.0
[/service/] GetMap EPSG:3857 Zoom 8 Image/Format JPG,50,204,206,232,236,246,134,246,25.30,0.000%,.78756,9.75,0.25,12673.0
[/service/] GetMap EPSG:3857 Zoom 9 Image/Format JPG,50,240,244,271,275,318,152,318,30.14,0.000%,.78800,3.78,0.25,4915.0
[/service/] GetMap EPSG:3857 Zoom 10 Image/Format JPG,50,194,193,233,238,254,124,254,26.95,0.000%,.78867,3.79,0.25,4915.0
[/service/] GetMap EPSG:3857 Zoom 11 Image/Format JPG,50,241,242,274,280,328,139,328,31.35,0.000%,.78838,3.78,0.25,4915.0
[/service/] GetMap EPSG:3857 Zoom 12 Image/Format JPG,50,198,198,227,232,247,120,247,24.35,0.000%,.78888,3.79,0.25,4915.0
[/service/] GetMap EPSG:3857 Zoom 13 Image/Format JPG,50,199,202,229,230,243,143,243,22.32,0.000%,.79024,3.79,0.25,4915.0
[/service/] GetMap EPSG:3857 Zoom 14 Image/Format JPG,50,150,143,196,202,224,79,224,31.30,0.000%,.79162,3.80,0.25,4915.0
TOTAL,1550,210,218,263,275,303,32,328,49.02,0.000%,22.27107,984.78,6.95,45279.1
